,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,y
efe7853ec0a748ac206e13e00b4b8212.1,17.0,17.0,5.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
155560e5e580a2b1f667fac458b7a6fa.0,101.0,101.0,40.0,40.0,2.0,2.0,2.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
48bed4c749c23dbdfdce6bd2af2e24ae.0,51.0,51.0,8.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1b85cbd6604fdab9fe5f47e0231eeca1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
df95ef249addce71d7a139908d586b8d.0,11941.0,11941.0,1354.0,1354.0,2.0,2.0,2.0,873.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8095a712d4d606602d8611b736a49c2b.0,893.0,893.0,299.0,299.0,1.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dacb1dd20397c2cc70166da0fb8cf30c.0,1471.0,1471.0,326.0,326.0,2.0,2.0,2.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
565b1b5096faa363753bd6549371e06f.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
04825cb0b1b461c6ea4b59b69879b417.1,19.0,19.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1
a1c69872baa04d7e1b0b719de337a450.1,22.0,22.0,19.0,19.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2ae2d4ba7d6e2ef194306dfd5604a2ef.0,1137.0,1136.0,569.0,568.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cd8c523a80157b6b90e23d49521fa482.1,11.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
8f7f17e13dec40dc272fd61b38f01149.0,82.0,82.0,23.0,23.0,3.0,3.0,3.0,1.0,3.0,0.0,9.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
